City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hilo,90,US,1595706842.0,65,19.73,-155.09,82.4,6.93
1,avarua,92,CK,1595706902.0,69,-21.21,-159.78,73.4,8.05
2,rikitea,16,PF,1595706890.0,80,-23.12,-134.97,69.62,21.18
3,bintulu,40,MY,1595706920.0,94,3.17,113.03,77.0,3.36
4,saint george,1,US,1595706601.0,22,37.1,-113.58,96.01,9.17
5,kapaa,90,US,1595706888.0,94,22.08,-159.32,78.01,14.99
6,srednekolymsk,0,RU,1595706976.0,31,67.45,153.68,79.97,3.83
7,ushuaia,40,AR,1595706729.0,92,-54.8,-68.3,30.2,20.8
8,saint anthony,75,US,1595706976.0,66,45.02,-93.22,88.0,11.41
9,albany,100,US,1595706893.0,36,42.6,-73.97,90.0,7.0
10,portland,20,US,1595706333.0,59,45.52,-122.68,73.99,5.82
11,hermanus,0,ZA,1595706898.0,88,-34.42,19.23,57.0,1.01
12,new norfolk,6,AU,1595706708.0,92,-42.78,147.06,39.0,2.62
13,fortuna,40,US,1595706723.0,68,40.6,-124.16,70.0,13.87
14,saskylakh,100,RU,1595706901.0,80,71.92,114.08,39.27,24.54
15,rio gallegos,20,AR,1595706977.0,93,-51.62,-69.22,32.0,11.41
16,upernavik,100,GL,1595706896.0,92,72.79,-56.15,44.31,18.32
17,port elizabeth,0,ZA,1595706657.0,39,-33.92,25.57,62.6,5.82
18,luderitz,0,NA,1595706682.0,28,-26.65,15.16,71.6,6.93
19,aguimes,20,ES,1595706977.0,69,27.91,-15.45,75.0,29.97
20,pavlodar,90,KZ,1595706977.0,100,52.3,76.95,62.6,15.66
21,butaritari,77,KI,1595706712.0,74,3.07,172.79,83.21,14.79
22,abu dhabi,0,AE,1595706977.0,59,24.47,54.37,95.0,5.82
23,thompson,40,CA,1595706726.0,50,55.74,-97.86,78.8,10.29
24,san carlos,28,VE,1595706786.0,63,9.66,-68.58,87.22,2.21
25,zhanakorgan,5,KZ,1595706978.0,25,43.91,67.25,81.7,11.97
26,port blair,33,IN,1595706706.0,80,11.67,92.75,82.17,4.43
27,tuatapere,100,NZ,1595706978.0,83,-46.13,167.68,46.22,5.61
28,bluff,100,NZ,1595706895.0,81,-46.6,168.33,50.41,19.86
29,vaini,75,TO,1595706899.0,78,-21.2,-175.2,71.6,9.17
30,punta arenas,68,CL,1595706595.0,59,-53.15,-70.92,33.8,10.29
31,hasaki,75,JP,1595706978.0,100,35.73,140.83,75.2,4.7
32,arraial do cabo,0,BR,1595706717.0,54,-22.97,-42.03,84.2,9.17
33,port hardy,20,CA,1595706917.0,82,50.7,-127.42,59.0,5.82
34,saint-gaudens,9,FR,1595706978.0,64,43.08,0.67,73.4,3.36
35,mataura,100,NZ,1595706659.0,92,-46.19,168.86,42.21,3.51
36,barrow,90,US,1595706889.0,86,71.29,-156.79,37.4,4.7
37,lavrentiya,66,RU,1595706920.0,72,65.58,-171.0,48.06,5.61
38,cravo norte,67,CO,1595706978.0,66,6.3,-70.2,86.2,3.67
39,kavieng,99,PG,1595706717.0,80,-2.57,150.8,82.06,15.01
40,dikson,0,RU,1595706905.0,91,73.51,80.55,39.56,15.41
41,silifke,0,TR,1595706979.0,55,36.38,33.93,82.31,1.7
42,tura,100,IN,1595706979.0,85,25.52,90.22,76.06,3.11
43,posse,0,BR,1595706979.0,24,-14.09,-46.37,81.52,8.25
44,veles,20,MK,1595706979.0,83,41.72,21.78,69.8,2.24
45,torbay,40,CA,1595706686.0,73,47.67,-52.73,73.0,9.17
46,pisco,20,PE,1595706653.0,77,-13.7,-76.22,64.99,10.29
47,georgetown,40,MY,1595706626.0,94,5.41,100.34,78.01,2.24
48,pokaran,90,IN,1595706979.0,59,26.92,71.92,88.27,13.82
49,bathsheba,40,BB,1595706979.0,70,13.22,-59.52,87.8,14.99
50,mahebourg,75,MU,1595706923.0,60,-20.41,57.7,68.0,17.22
51,mount gambier,90,AU,1595706719.0,100,-37.83,140.77,37.4,4.7
52,praia da vitoria,40,PT,1595706980.0,69,38.73,-27.07,75.2,6.15
53,barra do garcas,0,BR,1595706980.0,34,-15.89,-52.26,93.2,9.17
54,birin,100,NP,1595706980.0,100,26.89,88.07,65.55,0.89
55,lodja,22,CD,1595706980.0,44,-3.48,23.43,76.84,0.94
56,the valley,20,AI,1595706980.0,66,18.22,-63.06,87.8,18.34
57,beloha,0,MG,1595706980.0,71,-25.17,45.05,59.63,11.32
58,saint-georges,75,GD,1595706980.0,79,12.06,-61.75,84.2,17.22
59,leshan,100,CN,1595706980.0,88,29.56,103.76,69.93,6.73
60,port alfred,0,ZA,1595706660.0,34,-33.59,26.89,68.92,12.84
61,busselton,21,AU,1595706897.0,84,-33.65,115.33,51.01,7.76
62,bengkulu,7,ID,1595706897.0,90,-3.8,102.27,74.91,6.13
63,airai,90,TL,1595706699.0,100,-8.93,125.41,52.9,4.0
64,vaitape,16,PF,1595706980.0,77,-16.52,-151.75,78.4,17.34
65,cape town,75,ZA,1595706628.0,87,-33.93,18.42,61.0,6.93
66,monrovia,75,LR,1595706760.0,94,6.3,-10.8,77.0,9.95
67,castro,98,BR,1595706892.0,68,-24.79,-50.01,66.4,3.38
68,salamiyah,0,SY,1595706981.0,62,35.01,37.05,72.82,9.55
69,nyimba,37,ZM,1595706981.0,61,-14.56,30.81,64.31,8.72
70,qaanaaq,0,GL,1595706896.0,56,77.48,-69.36,45.37,2.33
71,aksu,0,CN,1595706981.0,28,41.12,80.26,81.34,8.34
72,clyde river,1,CA,1595706889.0,48,70.47,-68.59,60.8,24.16
73,port moresby,75,PG,1595706981.0,94,-9.44,147.18,77.0,11.41
74,faanui,16,PF,1595706918.0,78,-16.48,-151.75,77.56,17.34
75,dunedin,49,NZ,1595706981.0,55,-45.87,170.5,48.99,1.99
76,pevek,48,RU,1595706894.0,94,69.7,170.31,45.84,5.12
77,sao felix do xingu,1,BR,1595706981.0,28,-6.64,-51.99,92.77,4.85
78,bredasdorp,0,ZA,1595706656.0,82,-34.53,20.04,59.0,9.17
79,katsuura,75,JP,1595706982.0,94,35.13,140.3,78.8,9.17
80,tiksi,100,RU,1595706716.0,96,71.69,128.87,39.74,18.41
